iter	Passed	Remaining
0	1	162
1	3	155
2	4	156
3	6	149
4	7	149
5	9	154
6	11	156
7	13	154
8	14	150
9	16	145
10	17	141
11	18	137
12	20	136
13	21	133
14	23	133
15	25	131
16	26	130
17	28	128
18	29	125
19	30	122
20	31	120
21	33	118
22	34	116
23	36	115
24	37	113
25	39	112
26	40	110
27	42	108
28	43	106
29	44	103
30	45	101
31	47	100
32	48	99
33	50	97
34	52	96
35	53	95
36	54	93
37	56	91
38	57	90
39	59	88
40	60	87
41	61	84
42	99	132
43	101	129
44	103	126
45	105	124
46	107	121
47	109	118
48	110	115
49	112	112
50	114	110
51	117	108
52	119	105
53	120	102
54	122	100
55	125	98
56	127	96
57	129	93
58	131	91
59	132	88
60	134	86
61	137	84
62	140	82
63	146	82
64	150	80
65	153	78
66	155	76
67	157	73
68	158	71
69	160	68
70	161	65
71	163	63
72	164	60
73	166	58
74	168	56
75	169	53
76	171	51
77	173	48
78	174	46
79	176	44
80	179	42
81	182	39
82	183	37
83	185	35
84	187	33
85	190	30
86	192	28
87	196	26
88	199	24
89	201	22
90	204	20
91	205	17
92	207	15
93	209	13
94	210	11
95	212	8
96	214	6
97	216	4
98	218	2
99	219	0
