iter	Passed	Remaining
0	140	140198
1	142	71133
2	144	48005
3	146	36518
4	148	29594
5	150	24924
6	152	21660
7	154	19181
8	156	17237
9	159	15810
10	161	14501
11	164	13521
12	166	12612
13	168	11848
14	170	11203
15	172	10602
16	174	10069
17	176	9616
18	177	9188
19	179	8813
20	182	8512
21	184	8187
22	185	7899
23	188	7654
24	190	7447
25	192	7226
26	196	7066
27	198	6880
28	200	6699
29	202	6535
30	203	6366
31	205	6208
32	207	6088
33	209	5949
34	211	5843
35	214	5740
36	216	5627
37	218	5528
38	220	5425
39	222	5333
40	224	5246
41	226	5176
42	228	5095
43	230	5018
44	233	4945
45	234	4872
46	237	4808
47	239	4744
48	240	4674
49	244	4644
50	246	4582
51	249	4539
52	254	4541
53	256	4498
54	258	4442
55	260	4389
56	262	4338
57	264	4293
58	267	4260
59	269	4219
60	271	4174
61	273	4140
62	275	4095
63	277	4055
64	280	4028
65	283	4006
66	286	3988
67	288	3953
68	290	3915
69	293	3894
70	294	3857
71	297	3832
72	300	3812
73	302	3781
74	304	3757
75	306	3729
76	309	3712
77	315	3724
78	320	3737
79	323	3716
80	325	3690
81	332	3724
82	333	3687
83	335	3661
84	337	3635
85	341	3629
86	344	3611
87	346	3588
88	348	3562
89	349	3537
90	351	3510
91	353	3491
92	356	3477
93	358	3455
94	360	3433
95	361	3407
96	363	3383
97	364	3359
98	366	3338
99	370	3337
100	373	3321
101	374	3301
102	376	3281
103	378	3261
104	380	3241
105	382	3222
106	386	3225
107	388	3209
108	391	3196
109	392	3179
110	394	3161
111	396	3142
112	400	3140
113	402	3124
114	404	3110
115	406	3094
116	407	3074
117	408	3056
118	410	3041
119	414	3038
120	416	3026
121	418	3010
122	420	2997
123	422	2984
124	424	2971
125	426	2957
126	430	2958
127	433	2950
128	435	2943
129	438	2934
130	440	2924
131	445	2929
132	448	2921
133	451	2914
134	453	2907
135	456	2897
136	459	2897
137	462	2888
138	465	2880
139	467	2874
140	470	2865
141	472	2854
142	475	2846
143	477	2838
144	479	2827
145	481	2818
146	484	2811
147	487	2808
148	490	2802
149	493	2795
150	495	2788
151	498	2782
152	500	2772
153	505	2776
154	507	2767
155	510	2760
156	512	2752
157	515	2748
158	518	2744
159	521	2736
160	522	2724
161	524	2714
162	526	2706
163	530	2702
164	533	2699
165	535	2691
166	538	2683
167	540	2674
168	542	2667
169	545	2665
170	552	2680
171	555	2673
172	558	2667
173	562	2668
174	564	2660
175	566	2653
176	569	2647
177	571	2639
178	573	2631
179	577	2631
180	580	2624
181	582	2617
182	584	2610
183	586	2602
184	589	2595
185	592	2591
186	594	2586
187	597	2580
188	599	2573
189	601	2565
190	604	2560
191	607	2557
192	610	2554
193	613	2548
194	616	2545
195	618	2538
196	621	2534
197	624	2527
198	626	2522
199	629	2516
200	631	2509
201	633	2503
202	637	2504
203	640	2500
204	643	2495
205	645	2487
206	647	2480
207	651	2480
208	653	2473
209	655	2466
210	658	2460
211	660	2454
212	662	2448
213	665	2445
214	668	2439
215	670	2432
216	672	2428
217	675	2422
218	677	2415
219	680	2411
220	682	2405
221	684	2398
222	686	2393
223	689	2387
224	691	2381
225	694	2377
226	696	2372
227	698	2365
228	700	2359
229	702	2352
230	704	2346
231	707	2341
232	709	2336
233	711	2330
234	713	2324
235	716	2318
236	718	2313
237	720	2306
238	722	2300
239	725	2297
240	727	2291
241	729	2286
242	732	2281
243	734	2276
244	736	2270
245	739	2265
246	741	2260
247	743	2255
